영역,Jira 링크,code,개발 수용여부,개발 우선순위,기능,기능명세,단위 시스템,담당자,디자인 수용여부,비고,설명,와이어프레임 링크
,,AI-01,,중요,,기능,ASR,김민찬,,,WebSocket으로 로컬의 audio_chunk 수신 및 버퍼링,
,,MCP-08,,중요,,기능,MCP_app,김재환,,,"테스트, 콘솔에서 직접 텍스트 입력하여 AI 서버로 전송",
,,MCP-05,,중요,,기능,MCP_app,김민찬,,,"서버 통신, WebSocket으로 AI 서버와 실시간 통신",
,,MCP-07,,중요,,기능,MCP_app,김민찬,,,"상태 표시, 최소 UI로 현재 상태 표시",
,,MCP-06,,중요,,기능,MCP_app,김민찬,,,"세션 관리, 현재 작업 상태 추적",
,,PAGE-814,,보통,간편결제,상세,페이지,서해령,,,"- 화면 전체를 활용한 대형 4자리 숫자 패드 제공
- 각 쇼핑사이트 2차 결제 비밀번호 음성으로 인식
- 입력 시마다 큼직한 시각적 효과(깜빡임 등)와 음성 안내 병행",
,,AI-07,,,,,LLM,김재환,,,실행 결과 기반 다음 질문/확인 멘트 생성(대화형),
메인 관리,,PAGE-401(마이페이지),,중요,마이페이지,등록 / 수정,페이지,강한솔,,,"앱 진입 시 ""OO님 안녕하세요, 배송 중인 상품이 1건 있습니다""와 같이 요약 정보 우선 송출",
,,MCP-04,,중요,,기능,MCP_app,김재환,,,"브라우저 제어, MCP 도구로 웹 페이지 조작",
,,MCP-02,,중요,,기능,MCP_app,김민찬,,,"음성 재생, TTS 오디오 재생",
,,MCP-01,,중요,,기능,MCP_app,김민찬,,,"음성 녹음, V키 핫키로 마이크 녹음 시작/종료",
,,PAGE-811,,보통,쇼핑몰 선택,상세,페이지,서해령,,,"- 네이버, 쿠팡 등 사이트 로고를 텍스트 버튼으로 대체
- 버튼 클릭 시 음성으로 사이트명 음성 안내 제공",
,,MCP-03,,중요,,기능,MCP_app,김재환,,,"브라우저 실행, 앱 시작 시 Chrome CDP 활성화 실행",
,,PAGE-502,,보통,선택적 구매,,페이지,강한솔,,,"특정 판매처별 구매(예: ""쿠팡 장바구니만 결제해줘"") 또는 개별 상품 선택/취소 제어",
